,시,구,동,x,y
0,서울,강남구,역삼동,127.043069,37.501087
1,서울,강남구,논현동,127.022223,37.510178
2,서울,강남구,논현동,127.020563,37.514132
3,서울,강남구,역삼동,127.031495,37.499517
4,서울,강남구,대치동,127.062583,37.494668
5,서울,강남구,삼성동,127.063196,37.515
6,서울,강남구,신사동,127.0286009,37.5227934
7,서울,강남구,삼성동,127.060275,37.51015
8,서울,강남구,대치동,127.060651,37.50775
9,서울,강남구,신사동,127.033061,37.5273669
10,서울,강남구,수서동,127.10265,37.488008
11,서울,강남구,도곡동,127.036685,37.485192
12,서울,강남구,삼성동,127.050409,37.505321
13,서울,강남구,삼성동,127.048409,37.511293
14,서울,강남구,역삼동,127.026672,37.502117
15,서울,강남구,삼성동,127.061455,37.50999
16,서울,강남구,청담동,127.045995,37.518181
17,서울,강남구,역삼동,127.041309,37.492805
18,서울,강남구,역삼동,127.028439,37.497711
19,서울,강남구,대치동,127.060172,37.498973
20,서울,강남구,청담동,127.056449,37.522156
21,서울,강남구,신사동,127.02956,37.526283
22,서울,강남구,가로수길,127.022521,37.521933
23,서울,강남구,청담동,127.041827,37.525216
24,서울,강남구,역삼동,127.03091,37.492396
25,서울,강남구,논현동,127.03795430000002,37.52236449999999
26,서울,강남구,대치동,127.058817,37.503331
27,서울,강남구,삼성동,127.05742710000004,37.5075307
28,서울,강남구,"논현동,구산빌딩",127.0286446,37.5191632
29,서울,강남구,논현동,127.0207428,37.5162021
30,서울,강남구,대치동,127.057398,37.492167
31,서울,강남구,논현동,127.035653,37.514887
32,서울,강남구,청담동,127.04686509999999,37.5236351
33,서울,강남구,대치동,127.055055,37.496801
34,서울,강남구,역삼동,127.03299730000003,37.4941059
35,서울,강남구,삼성동,127.059245,37.513715
36,서울,강남구,신사동,127.02162499999997,37.5231593
37,서울,강남구,역삼동,127.039375,37.501623
38,서울,강남구,역삼동,127.033582,37.499721
39,서울,강남구,역삼동,127.025546,37.50314
40,서울,강남구,청담동,127.05155990000003,37.5243631
41,서울,강남구,삼성동,127.05791339999996,37.5097863
42,서울,강남구,영동대로86길,127.06517,37.507794
43,서울,강남구,논현동,127.0307302,37.51464884
44,서울,강남구,대치동,127.0622171,37.49966175
45,서울,강남구,도곡동,127.054895,37.490298
46,서울,강남구,삼성동,127.0555503,37.50703529
47,서울,강남구,대치동,127.051196,37.50377562
48,서울,강남구,신사동,127.0281105,37.52674095
49,서울,강남구,신사동,127.0347174,37.52680046
50,서울,강남구,역삼동,127.0388645,37.49592355
51,서울,강남구,역삼동,127.0407,37.50236693
52,서울,강남구,논현동,127.04124330000002,37.5165849
53,서울,강남구,대치동,127.061874,37.493554
54,서울,강남구,개포동,127.0451411,37.47781106
55,서울,강남구,역삼동,127.0349084,37.49971982
56,서울,강남구,대치동,127.0684943,37.49803646
57,서울,강남구,삼성동,127.04455970000004,37.51075489999999
58,서울,강남구,삼성동,127.0527183,37.51354184
59,서울,강남구,역삼동,127.03727759999992,37.5018592
60,서울,강남구,신사동,127.027915,37.52405601
61,서울,강남구,역삼동,127.0485135,37.50393894
62,서울,강남구,삼성동,127.060109,37.515351
63,서울,강남구,역삼동,127.039389,37.492209
64,서울,강남구,논현동,127.035373,37.508032
65,서울,강남구,삼성동,127.05143870000006,37.5186549
66,서울,강남구,신사동,127.036441,37.528115
67,서울,강남구,역삼동,127.0403869,37.50898041
68,서울,강남구,역삼동,127.02968850000002,37.4964557
69,서울,강남구,역삼동,127.0351577,37.50080096
70,서울,강남구,청담동,127.040437,37.526549
71,서울,강남구,역삼동,127.044308,37.502721
72,서울,강남구,대치동,127.057966,37.50576
73,서울,강남구,역삼동,127.046577,37.505053
74,서울,강남구,논현동,127.03226199999995,37.5115577
75,서울,강남구,논현동,127.02329570000006,37.51736229999999
