,매장,매장명,위도,경도
0,CU,개포사랑점,37.4831153716059,127.060667855034
1,CU,대청수성점,37.4942045850869,127.077648338611
2,CU,포이대원점,37.475010024851,127.052691593002
3,CU,포이점,37.4790268742332,127.048118503982
4,CU,강남거평타운점,37.5059164529797,127.028313428889
5,CU,강남논현타운점,37.5062787579201,127.026318723992
6,CU,논현APEX점,37.5184655294401,127.026053105285
7,CU,논현SK점,37.5167560126387,127.040841265738
8,CU,논현강남점,37.5171639152887,127.038918863702
9,CU,논현경복점,37.510182594565,127.039943023574
10,CU,논현골드점,37.5174784321911,127.040066701835
11,CU,논현광명점,37.5074834559805,127.023497392404
12,CU,논현대승점,37.5185650037838,127.037720770761
13,CU,논현동화점,37.5105152390861,127.023536119994
14,CU,논현두산위브점,37.5119303471109,127.03808107256
15,CU,논현선정릉점,37.5104073227934,127.041970782283
16,CU,논현성원점,37.5116646413142,127.040779110094
17,CU,논현세관사거리점,37.5147926744397,127.0363080269
18,CU,논현세기점,37.5111216728262,127.028208735634
19,CU,논현세원점,37.5129030526642,127.034628459623
20,CU,논현신우점,37.5097068966865,127.024670188825
21,CU,논현역드림점,37.5128202234829,127.020957620168
22,CU,논현영동점,37.5171034916702,127.02387900577
23,CU,논현우람점,37.5125510762771,127.027997534382
24,CU,논현윤진점,37.5081214633462,127.029133571622
25,CU,논현평화점,37.5091454388206,127.027317076349
26,CU,논현학동점,37.5143957753291,127.028815905333
27,CU,논현학사점,37.5179105244283,127.026400180418
28,CU,논현한미점,37.5074604391987,127.033395973437
29,CU,논현한진점,37.5208421273132,127.037093416442
30,CU,논현행복점,37.5125107322509,127.029030426057
31,CU,논현혜성점,37.5061547257052,127.024474037356
32,CU,논현힐탑점,37.511583546533,127.033004084615
33,CU,신사렉스점,37.5143684033869,127.020531849716
34,CU,학동역점,37.5144831085922,127.033499319221
35,CU,강남해성점,37.5066268201681,127.057346932213
36,CU,대치금강점,37.5045559137175,127.050729430264
37,CU,대치기량점,37.5011545732697,127.050832530148
38,CU,대치동부점,37.5056241995223,127.055229647611
39,CU,대치롯데점,37.4977346191558,127.053097476965
40,CU,대치메트로칸점,37.5068438170208,127.059463197882
41,CU,대치미니점,37.502827009544,127.055076946076
42,CU,대치본점,37.4985584841936,127.0588349858
43,CU,대치삼성점,37.4991812807975,127.062987853204
44,CU,대치샤인점,37.4978004006706,127.054465189148
45,CU,대치선경점,37.4933489108525,127.06191661451
46,CU,대치세정점,37.5026720441086,127.059160869655
47,CU,대치쌍용점,37.4985582319872,127.070034712154
48,CU,대치역점,37.4969037097468,127.061635253763
49,CU,대치예스점,37.5038879456482,127.052903804259
50,CU,대치예영점,37.4998734477233,127.059663040407
51,CU,대치은마동문점,37.4983618218985,127.068326460722
52,CU,대치은마센트럴점,37.4996157705058,127.065915414443
53,CU,대치은마점,37.4983516684357,127.060860100761
54,CU,대치점,37.5073874091176,127.062742080437
55,CU,대치타운점,37.4999652642216,127.055591437157
56,CU,대치타운중앙점,37.5035218475798,127.054140125797
57,CU,대치태양점,37.4991247860953,127.052482808648
58,CU,대치플러스점,37.5066040982591,127.058665090294
59,CU,대치한국점,37.5032959457801,127.05031261589
60,CU,대치현대점,37.4996674277764,127.060821135085
61,CU,컬쳐랜드타워점,37.5038047972699,127.066592014355
62,CU,강남세브란스점,37.4928059943729,127.04631039276
63,CU,도곡대원점,37.4835714414974,127.044760226624
64,CU,도곡럭키점,37.490533532661,127.038350295041
65,CU,도곡아이파크점,37.4920702704886,127.042114305173
66,CU,도곡아크로타워점,37.488142210176,127.050674343873
67,CU,도곡우성점,37.4869159664401,127.051855548139
68,CU,매봉산점,37.4869613950071,127.04523375081
69,CU,매봉역점,37.4856706424704,127.0453859536
70,CU,양재디오빌점,37.4864868587499,127.033537582361
71,CU,양재점,37.4849665053325,127.034757121285
72,CU,타워팰리스점,37.4880695220981,127.053483219997
73,CU,BGF사옥점,37.5058075414294,127.050210929466
74,CU,강남로얄점,37.5118337511933,127.048216357225
75,CU,강남삼성점,37.5152700382785,127.043229960702
76,CU,삼성1호점,37.5065083423896,127.052289487697
77,CU,삼성가멸점,37.5136353240935,127.050339576307
78,CU,삼성대웅점,37.5147241367989,127.064361083368
79,CU,삼성럭키점,37.5130801129886,127.045248830478
80,CU,삼성로점,37.5102229680973,127.053973498221
81,CU,삼성리저브점,37.5079854660981,127.055223583203
82,CU,삼성마젤란점,37.5087436940538,127.058342385872
83,CU,삼성백암점,37.5106711243034,127.065879214112
84,CU,삼성본점,37.5079456501219,127.057286979329
85,CU,삼성신코점,37.515224832577,127.064014710206
86,CU,삼성아이파크점,37.5160373189863,127.050318566945
87,CU,삼성우주점,37.5162369709382,127.060165849422
88,CU,삼성위브점,37.5084710343857,127.057824504052
89,CU,삼성한우리점,37.5110059596045,127.056250776941
90,CU,삼성햇살점,37.5095090385308,127.052108804812
91,CU,삼성현대점,37.5176166251155,127.046743685239
92,CU,선릉역점,37.5050855011158,127.049510713015
93,CU,선정릉역점,37.510866184953,127.044724378697
94,CU,청담블루밍점,37.5167198397466,127.052163362617
95,CU,세곡리엔점,37.4643876362108,127.104164996083
96,CU,세곡지웰점,37.4667946067681,127.100935178729
97,CU,세곡푸르지오점,37.4673466520187,127.093264549075
98,CU,강남신동아점,37.4879086504963,127.098186321626
99,CU,수서까치마을점,37.485485349127,127.086601738647
100,CU,수서나산점,37.4870745013425,127.103769196199
101,CU,수서럭키점,37.4921366670055,127.099752215392
102,CU,수서한아름점,37.4902172303572,127.103957177072
103,CU,강남소망점,37.5244958987881,127.032083152181
104,CU,신사가로수길점,37.5182465379004,127.02371365338
105,CU,신사강남점,37.5202983012542,127.027461523982
106,CU,신사드림점,37.5219980199606,127.019944909765
107,CU,신사성환점,37.5171506735807,127.020699344217
108,CU,신사세화점,37.5264348672513,127.034901246744
109,CU,신사신구점,37.5276527575761,127.031346095845
110,CU,신사월드점,37.5263096990298,127.027465990023
111,CU,신사중앙점,37.5215629096865,127.031244792323
112,CU,신사초원점,37.5237699442571,127.023319801669
113,CU,신사프리미어점,37.5214662165056,127.02486161639
114,CU,신사한남점,37.5229909420484,127.020888178354
115,CU,신사현대점,37.5272409582709,127.030120378353
116,CU,압구정CGV점,37.5243502735902,127.029403239407
117,CU,압구정거리점,37.525293589288,127.037192683998
118,CU,압구정로데오점,37.5269728582599,127.03865391702
119,CU,압구정신사점,37.522181734959,127.029062340377
120,CU,압구정역점,37.5267021492241,127.029081289706
121,CU,압구정미성점,37.5244043008813,127.018445606778
122,CU,강남시티점,37.5043368147633,127.044639619691
123,CU,강남푸르지오점,37.4976674173806,127.029286360295
124,CU,선릉SK허브점,37.503435658512,127.049106892969
125,CU,선릉디오빌점,37.5034233922924,127.047819753309
126,CU,선릉제일점,37.5055537720741,127.047714121429
127,CU,역삼가화점,37.4960076438531,127.042691885416
128,CU,역삼강남점,37.4997484038191,127.029196249265
129,CU,역삼건화점,37.4934761731191,127.041942421751
130,CU,역삼경남점,37.5005673881078,127.042381786191
131,CU,역삼경복점,37.5087062231303,127.040429370422
132,CU,역삼드림점,37.5023991955137,127.04489541391
133,CU,역삼디오빌점,37.4975461306128,127.031093425879
134,CU,역삼로즈점,37.495294979342,127.045736565773
135,CU,역삼목화점,37.5089390283877,127.042772652861
136,CU,역삼미래점,37.5038684504455,127.038835847903
