시,구,동,명칭,분류,주소,y,x
서울,강동구,암사동,암사동 생태경관보전지역,생태탐방,강동구 암사동 624-1번지,37.5523544834433,127.121794375098
서울,서초구,염곡동,헌인릉 생태경관보전지역,생태탐방,서초구 내곡동 산13-1,37.4636619678626,127.046481857902
서울,중구,예장동,남산 생태경관보전지역,생태탐방,중구 예장동 산5-6번지,37.5539481137637,126.989913513291
서울,동대문구,답십리동,간데메공원,산과공원,서울특별시 동대문구 서울시립대로2길 59,37.5727809772819,127.049064320439
서울,양천구,신정동,갈산공원,산과공원,서울 양천구 신정동 산73-4,37.5086094528867,126.86927637409
서울,은평구,불광동,갈현근린공원,산과공원,서울특별시 은평구 불광동 ,37.6176523268171,126.937059476367
서울,금천구,독산동,감로천생태공원,산과공원,서울특별시 금천구 독산4동 371,37.4703221928095,126.906904825849
서울,성북구,돈암동,개운산공원,산과공원,서울특별시 성북구 돈암동,37.5962791991149,127.00991034218
서울,구로구,오류동,개웅산공원,산과공원,서울특별시 구로구 오류동,37.4889461307052,126.835492478188
서울,강서구,방화동,개화근린공원,산과공원,방화동 산153-1,37.5813081759352,126.806892865618
서울,종로구,신문로2가,경희궁,산과공원,서울특별시 종로구 새문안길 50,37.5717690679936,126.96798487452
서울,양천구,신정동,계남공원,산과공원,서울특별시 양천구 신정동 산44-2,37.5098816169624,126.856722842361
서울,구로구,고척동,고척공원,산과공원,서울특별시 구로구 고척동 산 9-14번지,37.5059338194411,126.852006942702
서울,금천구,시흥동,관악산(호암산),산과공원,시흥동 산93-1,37.4504095521038,126.925013021463
서울,관악구,,관악산공원,산과공원,서울특별시 관악구,37.4783683761333,126.951561853868
서울,종로구,세종로,광화문시민열린마당,산과공원,서울특별시 종로구 세종로 76-2,37.5752071090486,126.978413044806
서울,서초구,염곡동,구룡산,산과공원,염곡동 산25-1,37.4667054289841,127.059308631465
서울,강서구,가양동,구암공원,산과공원,서울특별시 강서구 허준로 5길 42(가양동 1471),37.5675982250856,126.853729825991
서울,은평구,진관동,구파발폭포(진관근린공원),산과공원,서울특별시 은평구 진관동 393,37.637083378098,126.919058656228
서울,동작구,동작동,국립현충원,산과공원,서울특별시 동작구 현충로 65,37.4999714874936,126.973857987116
서울,서대문구,연희동,궁동공원,산과공원,서울특별시 서대문구 연희동 산118번지,37.5719203684246,126.925640054498
서울,강서구,가양동,궁산공원,산과공원,서울특별시 강서구 가양동 산6-4,37.57425308557,126.841331638307
서울,금천구,독산동,금천체육공원,산과공원,(153-010) 서울특별시 금천구 독산동 산118-4번지,37.468311598807,126.908534104168
서울,금천구,시흥동,금천폭포공원,산과공원,(153-701) 서울특별시 금천구 시흥동 937-2번지,37.4466512544143,126.904201940369
서울,성동구,금호동3가,금호근린공원,산과공원,(133-093) 서울특별시 성동구 금호동3가,37.5499307132641,127.020166005976
서울,강동구,길동,길동생태공원,산과공원,서울특별시 강동구 천호대로 1291,37.5390660422084,127.153328745828
서울,동작구,사당동,까치산공원,산과공원,서울특별시 동작구 사당동 산32,37.4841342008806,126.963312780569
서울,강서구,방화동,꿩고개공원,산과공원,서울특별시 강서구 방화동 산110,37.5801165268804,126.815976107159
서울,종로구,동숭동,낙산공원,산과공원,서울특별시 종로구 낙산길 54,37.580453816225,127.007275178101
서울,중구,예장동,남산공원,산과공원,서울특별시 중구 삼일대로 231,37.5556326132925,126.992217614712
서울,용산구,이촌동,노들텃밭,산과공원,(140-030) 서울특별시 용산구 양녕로 445 노들텃밭 지원센터,37.5176638307111,126.958036465507
서울,동작구,대방동,노량진공원,산과공원,서울특별시 동작구 대방동 23-176,37.5108534853387,126.929587790617
서울,성동구,금호동4가,달맞이근린공원,산과공원,(133-094) 서울특별시 성동구 금호동4가,37.5447325755774,127.026161935006
서울,동대문구,답십리동,답십리공원,산과공원,서울특별시 동대문구 답십리동  산2-9,37.5737600225103,127.063557866963
서울,강남구,개포동,대모산공원,산과공원,서울특별시 강남구 개포동 산 53-22,37.4750682584627,127.072385409902
서울,강남구,도곡동,도곡공원,산과공원,서울특별시 강남구 도곡동 산31-1번지,37.4894218458727,127.044098731026
서울,강남구,신사동,도산공원,산과공원,서울특별시 강남구 신사동 649-9,37.5243907896015,127.035117384097
서울,강동구,고덕동,동명근린공원,산과공원,서울특별시 강동구 고덕동 229,37.5614676731183,127.164932597739
서울,종로구,동숭동,마로니에공원,산과공원,서울특별시 종로구 동숭동 1-124,37.5804820301789,127.002711409252
서울,금천구,독산동,만수천공원,산과공원,(153-010) 서울특별시 금천구 독산동 산8,37.4744740100373,126.90917268201
서울,강서구,등촌동,매화공원,산과공원,서울특별시 강서구 등촌동 630-14,37.5577803088128,126.860703846766
서울,강동구,상일동,명일근린공원,산과공원,서울특별시 강동구 상일동 135,37.5517582803975,127.164598403887
서울,송파구,문정동,문정근린공원,산과공원,(138-200) 서울특별시 송파구 문정동 2-5번지외 1필지,37.4865125024037,127.128966800378
서울,도봉구,방학동,발바닥공원,산과공원,(132-023) 서울특별시 도봉구 방학3동 270-1,37.6597678874712,127.031995190807
서울,강서구,방화동,방화공원,산과공원,서울특별시 강서구 방화동 855,37.5808753190034,126.814464335297
서울,동대문구,전농동,배봉산공원,산과공원,서울특별시 동대문구 전농동 32-20번지,37.5806921980698,127.064358844049
서울,서대문구,홍은동,백련공원,산과공원,서울특별시 서대문구 홍은동 산11번지,37.5962219542248,126.934296704726
서울,동작구,신대방동,보라매공원,산과공원,서울특별시 동작구 여의대방로 20길33(신대방동 395),37.494892120669,126.919491108563
서울,은평구,구산동,봉산도시자연공원,산과공원,서울특별시 은평구 구산동 산61,37.6043567763756,126.905664235484
서울,강남구,삼성동,봉은공원,산과공원,서울특별시 강남구 삼성동 73,37.5151406962454,127.056941943202
서울,강서구,화곡동,봉제산공원,산과공원,서울특별시 강서구 화곡동 산 1번지,37.5407306576792,126.858825808741
서울,중랑구,묵동,봉화산공원,산과공원,서울특별시 중랑구 묵동 산46-1,37.6086174482057,127.084236298283
서울,강북구,번동,북서울꿈의숲,산과공원,강북구 월계로 173,37.6202544613023,127.044324732036
서울,종로구,부암동,북악산공원,산과공원,서울특별시 종로구 부암동,37.5924142953538,126.964061015983
서울,종로구,평창동,북한산국립공원,산과공원,서울특별시 종로구 평창동,37.6063916960376,126.968357810931
서울,은평구,불광동,불광근린공원,산과공원,서울특별시 은평구 불광동 산33-1,37.6211009240235,126.930898267409
